Rodada;Data;Horário;Time da casa;Time visitante;Sistema de jogo;Treinadores;Público;Resultado;;;;;;;
Quartas de final - Jogos de ida;qui 18/09/2025;19:00;LDU Quito;São Paulo;3-4-1-2;Hernán Crespo;;02:00;;;;;;;
quartas de final - Jogos de volta;qui 25/09/2025;19:00;São Paulo;LDU Quito;3-4-1-2;Hernán Crespo;54.609;00:00;;;;;;;
1;seg 10/02/2025;21:30;São Paulo;Inter Limeira;4-2-3-1;Luis Zubeldía;10.060;00:00;;;;;;;
2;seg 20/01/2025;20:00;Botafogo-SP;São Paulo;4-2-3-1;Maximiliano Cuberas;13.090;00:00;;;;;;;
3;qui 23/01/2025;19:30;São Paulo;Guarani;4-2-3-1;Luis Zubeldía;28.360;01:00;;;;;;;
4;dom 26/01/2025;18:30;São Paulo;Corinthians;4-2-3-1;Luis Zubeldía;54.855;03:01;;;;;;;
5;qua 29/01/2025;21:35;Portuguesa;São Paulo;4-2-3-1;Luis Zubeldía;8.399;01:02;;;;;;;
6;sáb 01/02/2025;20:30;Santos;São Paulo;4-2-3-1;Luis Zubeldía;14.268;03:01;;;;;;;
7;qua 05/02/2025;19:30;São Paulo;Mirassol;4-2-3-1;Luis Zubeldía;24.034;04:01;;;;;;;
8;sáb 08/02/2025;18:30;Bragantino;São Paulo;4-2-3-1;Luis Zubeldía;8.234;01:00;;;;;;;
9;qui 13/02/2025;21:30;São Paulo;Velo Clube;4-2-3-1;Luis Zubeldía;9.803;03:03;;;;;;;
10;dom 16/02/2025;18:30;Palmeiras;São Paulo;3-4-2-1;Luis Zubeldía;37.985;00:00;;;;;;;
11;qua 19/02/2025;19:30;São Paulo;Ponte Preta;4-2-3-1;Luis Zubeldía;22.138;01:02;;;;;;;
12;dom 23/02/2025;18:30;São Bernardo;São Paulo;3-4-1-2;Luis Zubeldía;3.241;01:03;;;;;;;
quartas de final;seg 03/03/2025;20:00;São Paulo;Novorizontino;3-4-1-2;Luis Zubeldía;52.315;01:00;;;;;;;
semifinais;seg 10/03/2025;21:35;Palmeiras;São Paulo;3-4-1-2;Luis Zubeldía;38.865;01:00;;;;;;;
3ª eliminatória - jogos de ida;ter 29/04/2025;21:30;São Paulo;Náutico;4-2-3-1;Luis Zubeldía;29.291;02:01;;;;;;;
3ª eliminatória - jogos de volta;ter 20/05/2025;21:30;Náutico;São Paulo;4-2-3-1;Luis Zubeldía;16.832;01:02;;;;;;;
Oitavas de final - Jogos de ida;qui 31/07/2025;19:30;São Paulo;Athletico-PR;3-5-2 plano;Hernán Crespo;42.142;02:01;;;;;;;
Oitavas de final - Jogos de volta;qua 06/08/2025;19:30;Athletico-PR;São Paulo;3-4-1-2;Hernán Crespo;30.501;1:0;;;;;;;
